NDC,ATC,DRUG,DRUG_NAME_GENERIC
00088222033,A10A,Insulin,Insulin Glargine
00456068801,R05D,Benzonatate,Benzonatate
61787006204,N07X,Dextromethorphan-Guaifenesin (Sugar Free),Dextromethorphan-Guaifenesin (Sugar Free)
00024159601,P01B,Primaquine Phosphate,Primaquine Phosphate
00004006850,N03A,Clonazepam,Clonazepam
00054872625,H02A,Prednisone,Prednisone
00009337502,J01F,Clindamycin,N/A
00031867412,N02A,Guaifenesin-Codeine Phosphate,Guaifenesin-Codeine Phosphate
00074434113,H03A,Levothyroxine Sodium,Levothyroxine Sodium
00641040025,B01A,Heparin,Heparin Sodium
00034120081,A06A,Senna,Senna
00781188313,A02B,Ranitidine,Ranitidine HCl
00049343041,J02A,Fluconazole,Fluconazole
00173099156,J05A,Acyclovir,Acyclovir
63323022110,J01X,Vancomycin HCl,N/A
00173047001,J05A,Lamivudine,Lamivudine
61958040101,J05A,Tenofovir Disoproxil Fum.,Tenofovir Disoproxil Fum.
00087665201,J05A,Didanosine Chewable Tab,Didanosine
11980002515,N/A,Artificial Tears,Artificial Tears
00338004902,B05X,NS,N/A
00002831501,A10A,Insulin,Insulin Human NPH
51079059820,J01F,Clindamycin,Clindamycin HCl
51079069020,A07D,Loperamide HCl,Loperamide HCl
00074792201,V06D,D5W,N/A
00338268975,N02A,Morphine Sulfate,Morphine PCA
00338004304,B05X,1/2 NS,N/A
00004029809,L04A,Mycophenolate Mofetil,N/A
00338008504,B05B,D5 1/2NS,N/A
00074131230,N02A,Hydromorphone,Hydromorphone
00008084199,A02B,Pantoprazole,Pantoprazole
17714002001,R06A,Diphenhydramine HCl,Diphenhydramine HCl
00677178110,N02B,Acetaminophen,Acetaminophen
63739008901,A06A,Docusate Sodium,Docusate Sodium
00472500360,A07A,Nystatin Oral Suspension,Nystatin Oral Suspension
00093008801,J01E,Sulfameth/Trimethoprim SS,Sulfameth/Trimethoprim SS
64253033335,B01A,Heparin Flush CVL  (100 units/ml),Heparin Flush
62053053425,L04A,Anti-Thymocyte Globulin (Rabbit),N/A
00009338901,H02A,Methylprednisolone Na Succ.,N/A
00083260104,N/A,Pamidronate,N/A
51079080120,C07A,Metoprolol,Metoprolol
00069153041,C08C,Amlodipine,Amlodipine
00409610204,C03C,Furosemide,Furosemide
60977045101,A03F,Metoclopramide,Metoclopramide HCl
00406051262,N02A,Oxycodone-Acetaminophen,Oxycodone-Acetaminophen
00338004904,B05X,NS,N/A
00517260225,A12C,Magnesium Sulfate,Magnesium Sulfate
55390007310,C07A,Metoprolol,Metoprolol
00172439018,R03A,Albuterol,Albuterol Inhaler
55513053010,L03A,Filgrastim,N/A
00054872925,H02A,Prednisone,Prednisone
00469060773,L04A,Tacrolimus,Tacrolimus
51079055271,A06A,Bisacodyl,Bisacodyl (Rectal)
00074176230,N02A,Morphine Sulfate,Morphine Sulfate (2-4mg)
00045006801,J01M,Levofloxacin,N/A
00074781124,J01X,Metronidazole,N/A
00002821501,A10A,Humulin-R Insulin,N/A
00074177825,C07A,Metoprolol,Metoprolol
11098003002,N01A,Fentanyl Citrate,Fentanyl Citrate
00074125901,N02A,Morphine Sulfate,Morphine Sulfate (1-5mg)
00641037625,N04A,Diphenhydramine HCl,Diphenhydramine HCl
00145062805,N/A,Sarna Lotion,Sarna Lotion
54569475100,N/A,Propofol (Generic),Propofol (Generic)
00045025501,N05A,Haloperidol,Haloperidol
54569407300,N01A,Propofol (Diprivan),Propofol (Diprivan)
51079029920,C02A,Clonidine HCl,Clonidine HCl
00168006015,C05A,Fluocinolone 0.025% Cream,Fluocinolone 0.025% Cream
00206845525,J01C,Piperacillin-Tazobactam Na,N/A
49502069703,R03A,Albuterol Neb Soln,Albuterol Neb Soln
49502068503,R03B,Ipratropium Bromide Neb,Ipratropium Bromide Neb
62584078833,N/A,Metoprolol,Metoprolol
62584072533,N05A,Haloperidol,Haloperidol
51079080220,C07A,Metoprolol,Metoprolol
51079075920,C07A,Atenolol,Atenolol
00091371501,C09A,Moexipril HCl,Moexipril HCl
51079028320,A03F,Metoclopramide,Metoclopramide HCl
00071015623,C10A,Atorvastatin,Atorvastatin
17714001110,N02B,Aspirin EC,Aspirin EC
59772704602,C09A,Captopril,Captopril
00074797308,N/A,Sterile Water,N/A
00074665106,B05X,Potassium Chloride,N/A
59676030401,B03X,Epoetin Alfa,N/A
00045152010,J01M,Levofloxacin,Levofloxacin
50111032703,C02D,HydrALAZINE HCl,HydrALAZINE HCl
00085330601,C01D,Isosorbide Mononitrate (Extended Release),Isosorbide Mononitrate (Extended Release)
51079025520,C07A,Metoprolol,Metoprolol
00182055589,C02D,HydrALAZINE HCl,HydrALAZINE HCl
00085411001,C01D,Isosorbide Mononitrate (Extended Release),Isosorbide Mononitrate (Extended Release)
00056017675,B01A,Warfarin,Warfarin
55390005710,C01B,Amiodarone HCl,N/A
00264751020,V06D,D5W (EXCEL BAG),N/A
53014097572,C03B,Metolazone,Metolazone
00409792337,V06D,D5W,N/A
58177000111,A12B,Potassium Chloride,Potassium Chloride
00517571025,C03C,Furosemide,N/A
51079090601,C01B,Amiodarone HCl,Amiodarone HCl
49884079374,C09A,Captopril,Captopril
00713010113,A06A,Glycerin Supps,Glycerin Supps
00310013039,C09A,Lisinopril,Lisinopril
00006494300,N/A,Pneumococcal Vac Polyvalent,Pneumococcal Vac Polyvalent
59762501801,J02A,Fluconazole,Fluconazole
00338055318,B05X,NS (Mini Bag Plus),N/A
00074455211,H03A,Levothyroxine Sodium,Levothyroxine Sodium
00310032520,J01D,Meropenem,N/A
00548590000,H01A,Cosyntropin,Cosyntropin
00074372301,N07A,Neostigmine,Neostigmine
00517460125,A03A,Glycopyrrolate,Glycopyrrolate
00074180001,C01C,Phenylephrine HCl,N/A
51079033530,A06A,Docusate Sodium (Liquid),Docusate Sodium (Liquid)
00173038354,A02B,Ranitidine,Ranitidine HCl
51079000522,N02B,Aspirin,Aspirin
00074663722,N/A,Sodium Bicarbonate,Sodium Bicarbonate
00074610204,C03C,Furosemide,Furosemide
00121043130,A02A,Milk of Magnesia,Milk Of Magnesia
00087606005,A10B,Metformin,Metformin
51079028120,B03B,Ibuprofen,Ibuprofen
51079087101,A02B,Sucralfate,Sucralfate
55390048101,M01A,Ketorolac,Ketorolac
00338011704,G01A,LR,N/A
51079000220,N02B,Acetaminophen,Acetaminophen
00904770418,N02B,Aspirin EC,Aspirin EC
00904404073,N02B,Aspirin,Aspirin
00904526161,A02B,Ranitidine,Ranitidine HCl
00121075210,A02B,Ranitidine,Ranitidine (Liquid)
00121054410,A06A,Docusate Sodium (Liquid),Docusate Sodium (Liquid)
00074117830,N02A,Meperidine,Meperidine
00338355248,J01X,Vancomycin HCl,N/A
10019016312,C01C,Phenylephrine HCl,N/A
00310030011,N01A,Propofol,Propofol
62174057751,N/A,Neostigmine,Neostigmine
10019001617,A03A,Glycopyrrolate,Glycopyrrolate
55390048001,M01A,Ketorolac,Ketorolac
00074241512,N02A,Hydromorphone,Hydromorphone HCl
00338004903,B05X,NS,N/A
00591083960,N06A,BuPROPion (Sustained Release),BuPROPion (Sustained Release)
54569189502,A06A,Bisacodyl,Bisacodyl (Rectal)
66689036430,N/A,Milk of Magnesia,Milk Of Magnesia
00054839424,N02A,Hydromorphone,Hydromorphone HCl
00074131701,N03A,Phenytoin Sodium,N/A
00338001703,V06D,D5W,N/A
51079012620,P01A,Metronidazole,Metronidazole
00338001731,V06D,D5W,N/A
00074212202,C09A,Enalaprilat,N/A
54868277600,N03A,Phenytoin,Phenytoin (Suspension)
00300304613,A02B,Lansoprazole Oral Suspension,Lansoprazole Oral Suspension
51079007520,C02D,Hydralazine HCl,Hydralazine HCl
60976034647,C07A,Labetalol HCl,Labetalol HCl
51079007620,C02D,Hydralazine HCl,Hydralazine HCl
00074771503,N/A,Mannitol,N/A
00256015201,N/A,Sodium Chloride Nasal,Sodium Chloride Nasal
00074144304,C01C,Norepinephrine,N/A
00074978901,N/A,NEO*IV*Fat Emulsion,N/A
00338002304,V06D,D10W,N/A
00517293025,B05X,Sodium Chloride,N/A
00182138167,B03A,NEO*PO*Ferrous Sulfate Elixer,NEO*PO*Ferrous Sulfate Elixer
49281027183,N/A,Tetanus-Diphtheria Toxoids-Td,N/A
00517490125,H02A,Dexamethasone,Dexamethasone Sod Phosphate
00054418425,H02A,Dexamethasone,Dexamethasone
00781305714,A04A,Ondansetron,Ondansetron
51079090520,N03A,Phenytoin,Phenytoin Sodium Extended
00182844789,N02B,Acetaminophen,Acetaminophen
67618030011,A06A,Senna,Senna
00338067104,B05B,Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,N/A
00338069104,A12B,Potassium Chl 20 mEq / 1000 mL NS,N/A
00406051201,N02A,Oxycodone-Acetaminophen,Oxycodone-Acetaminophen
00641036725,H02A,Dexamethasone,Dexamethasone Sod Phosphate
00121048910,R06A,DiphenhydrAMINE,DiphenhydrAMINE
00409131230,N02A,HYDROmorphone (Dilaudid),HYDROmorphone (Dilaudid)
50474059540,N03A,Levetiracetam,Levetiracetam
00641049125,N05A,Prochlorperazine,Prochlorperazine
00409771503,B05B,Mannitol 20%,N/A
00409158411,B05X,NS (Glass Bottle),N/A
00008092355,A02B,Pantoprazole Sodium,N/A
00409131701,N03A,Phenytoin Sodium,N/A
00409158302,B05X,NS (Glass Bottle),N/A
00641255545,N03A,Phenytoin Sodium,N/A
00409302401,C02D,Nitroprusside Sodium,N/A
00641092825,R06A,Promethazine HCl,Promethazine HCl
00409125830,N02A,Morphine Sulfate,Morphine Sulfate (Syringe)
00409117830,N02A,Meperidine,Meperidine
00338050941,J01G,Gentamicin,N/A
00406055201,N02A,OxycoDONE (Immediate Release) ,OxycoDONE (Immediate Release) 
00904399061,N06A,traZODONE HCl,traZODONE HCl
00781526564,A04A,Ondansetron,Ondansetron ODT
00085124402,L01A,*NF* Temozolomide,*NF* Temozolomide
00085125902,L01A,*NF* Temozolomide,*NF* Temozolomide
10939033733,C05A,Fish Oil (Omega 3),Fish Oil (Omega 3)
00245008201,N/A,Multivitamins,Multivitamins
00007313705,J01D,Cefazolin,N/A
00074915801,B02B,Phytonadione,Phytonadione
10019003867,N01A,Fentanyl Citrate,Fentanyl Citrate
00003045051,C09A,Captopril,Captopril
00074491134,A03B,Atropine Sulfate,Atropine Sulfate
61379012005,B01A,Tirofiban,N/A
51079028520,N05B,Diazepam,Diazepam
00071015823,C10A,Atorvastatin,Atorvastatin
63653117103,B01A,Clopidogrel Bisulfate,Clopidogrel Bisulfate
51079068420,C07A,Atenolol,Atenolol
00074198530,N05B,Lorazepam,Lorazepam
51079041720,N05B,Lorazepam,Lorazepam
00045006701,J01M,Levofloxacin,N/A
00074665305,B05X,Potassium Chloride,N/A
00085113601,B01A,Eptifibatide,N/A
00173041200,J01D,Ceftazidime,N/A
00071015723,C10A,Atorvastatin,Atorvastatin
00087057007,R05C,Acetylcysteine 20%,Acetylcysteine 20%
00165002241,A02A,Magnesium Oxide,Magnesium Oxide
00054829925,C03C,Furosemide,Furosemide
00054812025,A07X,Calcium Carbonate,Calcium Carbonate
00069580043,C01B,Dofetilide,Dofetilide
51079095220,C09A,Enalapril Maleate,Enalapril Maleate
00186109005,C07A,Metoprolol XL,Metoprolol XL
00006004368,B02B,Phytonadione,Phytonadione
51079010320,C03D,Spironolactone,Spironolactone
00173024256,C01A,Digoxin,Digoxin
58016066890,N06A,Sertraline,Sertraline
63739002401,N02B,Aspirin,Aspirin
00074490234,V06D,Dextrose 50%,Dextrose 50%
00173017755,N06A,BuPROPion,BuPROPion
00245010450,A06A,Bisacodyl,Bisacodyl (Rectal)
57664027408,N03A,Clonazepam,Clonazepam
00310075590,C10A,Rosuvastatin Calcium,Rosuvastatin Calcium
51079042820,N06A,traZODONE HCl,traZODONE HCl
00456201063,N06A,Escitalopram Oxalate,Escitalopram Oxalate
00310027539,N05A,Quetiapine Fumarate,Quetiapine Fumarate
00904794160,N06A,Nortriptyline,Nortriptyline HCl
00067033062,A02A,Aluminum-Magnesium Hydrox.-Simethicone,Aluminum-Magnesium Hydrox.-Simethicone
51079001420,A11D,Thiamine HCl,Thiamine HCl
51079004120,V04C,Folic Acid,Folic Acid
00186109039,C07A,Metoprolol XL,Metoprolol XL
00006353750,A02B,Famotidine,N/A
00574703412,N02B,Aspirin,Aspirin (Rectal)
00002411260,N05A,Olanzapine,Olanzapine
66553000401,A02A,Calcium Carbonate,Calcium Carbonate (Tums)
51079039620,N02B,Acetaminophen,Acetaminophen
10432017002,A11C,Vitamin D,Vitamin D
00007313505,J01D,Cefazolin,N/A
00173034447,A02B,Ranitidine,Ranitidine HCl
00054865024,N02A,Oxycodone-Acetaminophen,Oxycodone-Acetaminophen
00074125801,N02A,Morphine Sulfate,Morphine Sulfate
00074724803,B05A,Hespan,N/A
00078035806,C09C,Diovan,*NF* Valsartan
51079036430,A02A,Milk of Magnesia,Milk Of Magnesia
51079047821,N05B,Oxazepam,Oxazepam
51079081020,A10B,Glipizide,Glipizide
54569536200,C09C,Diovan,*NF* Valsartan
00006074928,C10A,Simvastatin,Simvastatin
00074663734,B05X,Sodium Bicarbonate,Sodium Bicarbonate
00338001704,V06D,D5W,N/A
00004014301,A11C,Calcitriol,Calcitriol
00006361932,N/A,Chlorothiazide Sodium,N/A
00131422009,A07X,Polysaccharide Iron Complex,Iron Polysaccharides Complex
00049491041,N06A,Sertraline HCl,Sertraline HCl
54162060002,N/A,Eucerin,Eucerin
00054817525,H02A,Dexamethasone,Dexamethasone
63323026201,B01A,Heparin,Heparin Sodium
00045006601,J01M,Levofloxacin,N/A
00054817625,H02A,Dexamethasone,Dexamethasone
51079045120,C08C,Amlodipine,Amlodipine
00904224461,A06A,Docusate Sodium,Docusate Sodium
00536338101,A06A,Bisacodyl,Bisacodyl
00574705050,A06A,Bisacodyl,Bisacodyl (Rectal)
00904516561,A06A,Senna,Senna
60258000601,A09A,Neutra-Phos,Neutra-Phos
61553008348,N/A,Calcium Gluconate,N/A
00409672924,A12C,Magnesium Sulfate,N/A
24477003025,C08C,NiCARdipine IV,N/A
58177020211,A12B,Potassium Chloride,Potassium Chloride
00409148402,N/A,Nitroglycerin,N/A
00703450204,A03F,Metoclopramide,Metoclopramide
00409176230,N02A,Morphine Sulfate,Morphine Sulfate (Syringe)
00074929613,H03A,Levothyroxine Sodium,Levothyroxine Sodium
00409490234,V06D,Dextrose 50%,Dextrose 50%
00487950125,R03A,Albuterol 0.083% Neb Soln,Albuterol 0.083% Neb Soln
00517570425,C03C,Furosemide,Furosemide
10019011501,C07A,Esmolol,Esmolol
10019005561,C07A,Esmolol,N/A
00904504561,C09A,Captopril,Captopril
55289061401,A10B,GlyBURIDE,GlyBURIDE
10019002803,N05C,Midazolam,Midazolam
17270072101,R03A,Albuterol,Albuterol Inhaler
55390046001,S01E,AcetaZOLamide Sodium,N/A
00338001710,V06D,D5W,N/A
00487980125,R03B,Ipratropium Bromide Neb,Ipratropium Bromide Neb
00173071900,R03B,Fluticasone Propionate 110mcg,Fluticasone Propionate 110mcg
00597001314,R03A,Albuterol-Ipratropium,Albuterol Sulfate-Ipratropium
59930156001,R03A,Albuterol,Albuterol Inhaler
00378001801,C07A,Metoprolol,Metoprolol
00039022110,A10B,Amaryl,*NF* Glimepiride
00597005801,G04C,Tamsulosin HCl,Tamsulosin HCl
00003517806,C10A,Pravastatin,Pravastatin
00173069502,R03B,Fluticasone-Salmeterol (100/50),Fluticasone-Salmeterol (100/50)
00008418806,C01B,Amiodarone HCl,Amiodarone HCl
00641047725,N03A,Phenobarbital Sodium,N/A
00074377805,N05C,Pentobarbital Sodium,N/A
00074377804,N05C,Pentobarbital Sodium,N/A
00074234301,N03A,Phenobarbital,Phenobarbital
00338004931,B05X,NS,N/A
00173099501,J05A,Acyclovir,N/A
00008058113,N05B,Lorazepam,N/A
00338001738,V06D,D5W,N/A
00074706811,H03A,Levothyroxine Sodium,Levothyroxine Sodium
51079095120,C09A,Enalapril Maleate,Enalapril Maleate
00781155613,C01D,Isosorbide Dinitrate,Isosorbide Dinitrate
00186108805,C07A,Metoprolol XL,Metoprolol XL
00074793124,C01B,Lidocaine,N/A
00074132305,C01B,Lidocaine,Lidocaine
00597006661,C01B,Mexiletine HCl,Mexiletine HCl
00517460525,A03A,Glycopyrrolate,Glycopyrrolate
00074724101,C01C,Epinephrine,N/A
00713016512,N02B,Acetaminophen,Acetaminophen (Rectal)
00074518211,H03A,Levothyroxine Sodium,Levothyroxine Sodium
00703115303,C01C,Norepinephrine,N/A
00088110749,R06A,Fexofenadine,Fexofenadine
00009514001,J01X,Linezolid,N/A
66591018442,N/A,Multivitamin IV,N/A
00338114403,B05B,Amino Acids 4.25% W/ Dextrose 5%,N/A
00075245101,H01B,Desmopressin Acetate,N/A
55390088010,H03A,Levothyroxine Sodium,Levothyroxine Sodium
61570042001,H01B,Vasopressin,N/A
63323022905,V03A,Protamine Sulfate,N/A
00074606211,N02A,Morphine Sulfate,N/A
00074490334,C01B,Lidocaine,Lidocaine
63323023861,J01D,Cefazolin,N/A
10019001654,A03A,Glycopyrrolate,Glycopyrrolate
00310030050,N01A,Propofol,N/A
00074380711,G04C,Terazosin HCl,Terazosin HCl
00071015640,C10A,Atorvastatin,Atorvastatin
00245006101,B03A,Ferrous Gluconate,Ferrous Gluconate
00071036940,N03A,Phenytoin,Phenytoin Sodium Extended
00409198530,N05B,Lorazepam,Lorazepam
00172376010,C09A,Lisinopril,Lisinopril
51079045620,C10A,Simvastatin,Simvastatin
00074233411,N02A,HYDROmorphone (Dilaudid),HYDROmorphone PCA
00264310311,J01D,CefazoLIN,N/A
49502069724,R03A,Albuterol 0.083% Neb Soln,Albuterol 0.083% Neb Soln
10019003783,N01A,Fentanyl Citrate,N/A
10019002710,N05C,Midazolam,N/A
00409779362,B01A,Heparin Sodium,N/A
55390076210,N01A,Etomidate,Etomidate
00597008717,R03B,Ipratropium Bromide MDI,Ipratropium Bromide HFA
54569523500,A01A,Chlorhexidine Gluconate 0.12% Oral Rinse,Chlorhexidine Gluconate
59310057920,R03A,Albuterol Inhaler,Albuterol Inhaler (ProAir)
10019002804,N05C,Midazolam,Midazolam
00409662902,M03A,Succinylcholine,Succinylcholine
00338500241,J01D,CeftriaXONE,N/A
00409121201,A06A,Naloxone,Naloxone
37205036374,N07B,Nicotine Patch,Nicotine Patch
00409729501,B05B,Potassium Phosphate,N/A
00172474110,N06A,Citalopram Hydrobromide,Citalopram Hydrobromide
00006007228,D11A,Finasteride,Finasteride
58177022211,C01D,Isosorbide Mononitrate (Extended Release),Isosorbide Mononitrate (Extended Release)
00591564301,C02D,Minoxidil,Minoxidil
00009454101,G04B,Tolterodine,Tolterodine
00172375810,C09A,Lisinopril,Lisinopril
00766145010,N07B,Nicotine Patch,Nicotine Patch
52959067430,A06A,Bisacodyl,Bisacodyl
00054848616,A06A,Lactulose,Lactulose
51079038620,N05B,Lorazepam,Lorazepam
00409180001,C01C,Phenylephrine,N/A
00009337501,J01F,Clindamycin,N/A
54569532200,N/A,Doxycycline Hyclate,N/A
00065041435,N/A,Lacri-Lube Oint,Lacri-Lube Oint
50474059240,N03A,Levetiracetam,Levetiracetam
00074568216,N03A,Valproic Acid,Valproic Acid
00074156410,N03A,Valproate Sodium,N/A
00074567102,H02A,Hydrocortisone Na Succ.,N/A
00555099702,H02A,Fludrocortisone Acetate,Fludrocortisone Acetate
00052073112,N/A,Cosyntropin,Cosyntropin
00004200278,J01D,Ceftriaxone,N/A
00173052000,R03A,Salmeterol Xinafoate Diskus (50 mcg),Salmeterol Xinafoate Diskus (50 mcg)
00173049400,R03B,Fluticasone Propionate 110mcg,Fluticasone Propionate 110mcg
00409662502,B05X,Sodium Bicarbonate,N/A
10019025112,A03B,Atropine Sulfate,Atropine Sulfate
00071015540,C10A,Atorvastatin,Atorvastatin
00023917705,S01G,Brimonidine Tartrate 0.15% Ophth.,Brimonidine Tartrate 0.15% Ophth.
00074662411,H03A,Levothyroxine Sodium,Levothyroxine Sodium
61553011841,N01A,Fentanyl Citrate,N/A
61553019648,N05C,Midazolam,N/A
60505056802,S01E,Dorzolamide 2%/Timolol 0.5% Ophth.,Dorzolamide 2%/Timolol 0.5% Ophth.
33332001001,J07B,Influenza Virus Vaccine,Influenza Virus Vaccine *Latex Free*
00006473900,N/A,Pneumococcal Vac Polyvalent,PNEUMOcoccal Vac Polyvalent
00071015740,C10A,Atorvastatin,Atorvastatin
00406717162,N02A,TraMADOL (Ultram),TraMADOL (Ultram)
00143989701,J01D,Cephalexin,Cephalexin
51079090620,C01B,Amiodarone,Amiodarone
51079007220,C03C,Furosemide,Furosemide
00121475210,A02B,Ranitidine,Ranitidine (Liquid)
63304094110,J01D,CefazoLIN,N/A
00121065721,N02B,Acetaminophen,Acetaminophen (Liquid)
52769045050,B05A,Albumin 5% (25 g),Albumin 5% (25 g)
00409663734,B05X,Sodium Bicarbonate,Sodium Bicarbonate
00703095603,J01M,Ciprofloxacin IV,N/A
00007440701,B01A,Argatroban,N/A
00409724101,C01C,Epinephrine,N/A
00409163802,N05C,Dexmedetomidine HCl,N/A
37205014472,N/A,Ascorbic Acid,Ascorbic Acid
00731040106,B05X,Zinc Sulfate,Zinc Sulfate
37205036174,N07B,Nicotine Patch,Nicotine Patch
60505251903,N06A,Citalopram Hydrobromide,Citalopram Hydrobromide
00172531210,J01M,Ciprofloxacin HCl,Ciprofloxacin HCl
51079073320,N05A,Haloperidol,Haloperidol
00245005301,B03A,Ferrous Sulfate,Ferrous Sulfate
00182050789,V04C,FoLIC Acid,FoLIC Acid
00093521193,A02B,Omeprazole,Omeprazole
00555077002,D11A,Finasteride,Finasteride
51079074520,C08D,Diltiazem,Diltiazem
66553000801,N/A,Sodium Bicarbonate,Sodium Bicarbonate
58914011110,A09A,Viokase 8,Viokase 8
00904272561,J01E,Sulfameth/Trimethoprim DS,Sulfameth/Trimethoprim DS
55390010901,J01F,Clindamycin,N/A
63323016501,H02A,Dexamethasone,Dexamethasone Sod Phosphate
49502068524,R03B,Ipratropium Bromide Neb,Ipratropium Bromide Neb
66591091332,N02A,Oxycodone Liquid,Oxycodone Liquid
00641276543,J01E,Sulfameth/Trimethoprim,N/A
00054814622,A01A,Clotrimazole,Clotrimazole
00406055262,N02A,OxycoDONE (Immediate Release) ,OxycoDONE (Immediate Release) 
00093730165,A04A,Ondansetron ODT,Ondansetron ODT
51079096620,A02B,Famotidine,Famotidine (PO)
00009454401,G04B,Tolterodine,Tolterodine
00173024956,C01A,Digoxin,Digoxin
00310013239,C09A,Lisinopril,Lisinopril
00007414020,C07A,Carvedilol,Carvedilol
00049275041,C02C,Doxazosin,Doxazosin
00025540134,N05C,Zolpidem Tartrate,Zolpidem Tartrate
00006336603,S01E,Timolol Maleate 0.25%,Timolol Maleate 0.25%
00049276041,C02C,Doxazosin,Doxazosin
00456402063,N06A,Citalopram Hydrobromide,Citalopram Hydrobromide
00074636902,J01F,Erythromycin,Erythromycin Ethylsuccinate
00074662502,B05X,Sodium Bicarbonate,N/A
00409144304,C01C,Norepinephrine,N/A
00008081401,C01B,Amiodarone HCl,N/A
00034180080,A06A,Senna,Senna
63323016101,M01A,Ketorolac,Ketorolac
51079051920,N05A,ChlorproMAZINE,ChlorproMAZINE
00641139735,N05A,ChlorproMAZINE,ChlorproMAZINE
00904174861,B03B,Ibuprofen,Ibuprofen
00121174410,R05C,Guaifenesin,Guaifenesin
54868410300,J01G,Gentamicin Sulfate,N/A
00300154430,A02B,Lansoprazole Oral Disintegrating Tab,Lansoprazole Oral Disintegrating Tab
00074438220,M03A,Cisatracurium Besylate,N/A
59310017780,R03B,Qvar,*NF* Beclomethasone Dipropionate Inhalation
00456261390,C08D,Diltiazem Extended-Release,Diltiazem Extended-Release
00338080304,B05B,Potassium Chl 20 mEq / 1000 mL D5NS,N/A
00310030022,N01A,Propofol,Propofol
00300304611,A02B,Lansoprazole,Lansoprazole
00023050601,S03A,Artificial Tears,Artificial Tears Preserv. Free
00054817925,H02A,Dexamethasone,Dexamethasone
51079074620,C08D,Diltiazem,Diltiazem
00007414120,C07A,Carvedilol,Carvedilol
00487980130,R03B,Ipratropium Bromide Neb,Ipratropium Bromide Neb
00173049800,R03B,Fluticasone Propionate 110mcg,Fluticasone Propionate 110mcg
00071036240,N03A,Phenytoin,Phenytoin Sodium Extended
00409665305,B05X,Potassium Chloride,N/A
16837085839,N/A,Simethicone,Simethicone
00409127332,N05B,Diazepam,Diazepam
00132010915,N/A,Fleet Phospho-Soda,Fleet Phospho-Soda
00007336721,N05A,Prochlorperazine,Prochlorperazine Maleate
00338008904,B05B,D5NS,N/A
00536242558,D08A,Phenaseptic Throat Spray,Phenaseptic Throat Spray
58177003106,A09A,Pangestyme-EC,Pangestyme-EC
55390003710,M03A,Vecuronium Bromide,Vecuronium Bromide
