ICD9_CODE,DESCRIPTION
0024,"The procedure associated with the ICD-9-CM code 0024 refers to the therapeutic manipulation of a foreign body in the gastrointestinal tract, primarily aimed at removing or repositioning ingested objects that may cause obstruction or injury. This procedure is typically indicated for diagnoses such as foreign body ingestion (ICD-9-CM: 933.1) and esophageal obstruction due to a foreign body (ICD-9-CM: 530.0). Prior to the procedure, it is essential to hold certain drug classes, particularly anticoagulants (ATC-3: B01AA), to mitigate the risk of bleeding complications during manipulation. Post-procedure management often includes the administration of analgesics (ATC-3: N02A) for pain relief and, if indicated, antibiotics such as broad-spectrum agents (ATC-3: J01) for prophylaxis against potential infections that could arise from mucosal injury. Critical contraindications include the use of non-steroidal anti-inflammatory drugs (ATC-3: M01A) which may exacerbate bleeding risks if administered before or immediately after the procedure, highlighting the importance of careful medication management in this context."
0028,"The procedure defined by ICD-9-CM: 0028 refers to the excision of a lesion of the small intestine, primarily performed for therapeutic purposes such as removing tumors, strictures, or other pathological conditions affecting the small bowel. This procedure is typically indicated for diagnoses such as small intestine neoplasms (ICD-9-CM: 152.0), Crohn's disease affecting the small intestine (ICD-9-CM: 555.0), or intestinal obstruction due to various causes (ICD-9-CM: 560.9). Prior to the procedure, it is often necessary to hold or adjust medications, particularly the discontinuation of anticoagulants (ATC-3: B01AA) and nonsteroidal anti-inflammatory drugs (ATC-3: M01A) to mitigate the risk of bleeding during and after surgery. Post-procedure, patients are commonly prescribed opioid analgesics (ATC-3: N02A) for effective pain management and may also receive intravenous fluids and electrolytes (ATC-3: B05B) to support recovery, especially if there has been significant bowel resection. It is important to note that certain medications, such as immunosuppressants (ATC-3: L04A), may need to be contraindicated or adjusted prior to the procedure due to their potential to impair healing and increase the risk of infection."
0031,"The procedure associated with the ICD-9-CM code 0031 refers to an appendectomy, which is primarily performed for the treatment of acute appendicitis (ICD-9-CM: 540.9) and, in some cases, for appendiceal abscess (ICD-9-CM: 540.0). Prior to the procedure, it is crucial to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of intraoperative and postoperative bleeding. Following the appendectomy, patients are typically prescribed analgesics such as non-steroidal anti-inflammatory drugs (ATC-3: M01A) or opioid analgesics (ATC-3: N02A) for effective pain management, and may also receive antibiotics, such as second-generation cephalosporins (ATC-3: J01DC), for prophylaxis against surgical site infections. It is essential to avoid the use of non-steroidal anti-inflammatory drugs (ATC-3: M01A) in the immediate postoperative period if there are concerns about gastrointestinal bleeding or renal function, as these factors can complicate recovery."
0032,"The procedure associated with the ICD-9-CM code 0032 refers to the surgical intervention of appendectomy, which is primarily performed for the treatment of acute appendicitis (ICD-9-CM: 540.0). The main goal of this procedure is to remove the inflamed appendix to prevent complications such as perforation or abscess formation. Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) to mitigate the risk of bleeding during surgery, and nonsteroidal anti-inflammatory drugs (ATC-3: M01A) may also be adjusted to prevent any potential interference with hemostasis. Following the appendectomy, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management and may receive antibiotics such as third-generation cephalosporins (ATC-3: J01DD) to prevent postoperative infections. It is critical to avoid the use of antiplatelet agents (ATC-3: B01AC) prior to and immediately after the procedure, as these can increase the risk of bleeding and complicate recovery."
0033,"The procedure associated with the ICD-9-CM code 0033 refers to the therapeutic intervention of appendectomy, primarily performed to remove an inflamed or infected appendix, a condition known as appendicitis (ICD-9-CM: 540.9). This surgical procedure is indicated in cases of acute appendicitis and may also be performed in cases of chronic appendicitis or abscess formation. Prior to the procedure, it is essential to hold or adjust certain drug classes, particularly anticoagulants (ATC-3: B01AA), to mitigate the risk of excessive bleeding during surgery. Post-procedure, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management and may receive antibiotics such as third-generation cephalosporins (ATC-3: J01DD) to prevent postoperative infections. It is important to note that nonsteroidal anti-inflammatory drugs (NSAIDs) (ATC-3: M01A) are often contraindicated immediately after the procedure due to their potential to increase bleeding risk and interfere with healing."
0039,"The procedure associated with the ICD-9-CM code 0039 refers to a diagnostic laparoscopy, which is primarily performed to visualize the abdominal cavity and assess conditions such as abdominal pain, suspected organ pathology, or unexplained gastrointestinal symptoms. This procedure is typically indicated for conditions such as acute abdominal pain (ICD-9-CM: 789.00) and chronic abdominal pain (ICD-9-CM: 789.09). Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during and after the surgery. Following the procedure, patients are commonly prescribed analgesics such as opioid analgesics (ATC-3: N02A) for effective pain management and may also receive antiemetics (ATC-3: A04A) to address postoperative nausea and vomiting. It is critical to avoid the use of nonsteroidal anti-inflammatory drugs (ATC-3: M01A) immediately after the procedure due to their potential to increase bleeding risk, particularly in the context of surgical recovery."
0040,"The procedure associated with the ICD-9-CM code 0040 refers to the surgical intervention of the excision of a pilonidal cyst, primarily aimed at alleviating symptoms and preventing recurrence of the condition. This procedure is typically indicated for patients presenting with pilonidal disease, which may manifest as painful abscesses or recurrent infections in the sacrococcygeal region (ICD-9-CM: 685.0). Prior to the procedure, it is crucial to manage the patient's medication regimen; for instance, the discontinuation of anticoagulants (ATC-3: B01AA) is often necessary to minimize the risk of bleeding during surgery. Postoperatively, patients are frequently prescribed analgesics such as nonsteroidal anti-inflammatory drugs (ATC-3: M01A) for pain management, and, in some cases, antibiotics (ATC-3: J01) may be indicated to prevent infection at the surgical site. It is important to note that specific medications, particularly immunosuppressants (ATC-3: L04), should be closely monitored or held due to their potential to impair wound healing and increase the risk of postoperative complications."
0041,"The procedure denoted by the ICD-9-CM code 0041 refers to laparoscopic cholecystectomy, which is primarily performed for the treatment of symptomatic gallstones (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). This minimally invasive surgical technique aims to remove the gallbladder, alleviating symptoms such as pain and preventing complications associated with gallstone disease. Prior to the procedure, it is essential to adjust the use of anticoagulants (ATC-3: B01AA) to mitigate the risk of bleeding during and after surgery, necessitating discontinuation several days in advance. Following the laparoscopic cholecystectomy, patients typically require opioid analgesics (ATC-3: N02A) for effective pain management, as well as non-steroidal anti-inflammatory drugs (ATC-3: M01A) to reduce inflammation and discomfort. Additionally, a short course of antibiotics, such as first-generation cephalosporins (ATC-3: J01DB), may be prescribed for prophylaxis against surgical site infections. It is crucial to avoid the use of certain medications, including antiplatelet agents (ATC-3: B01AC), prior to and immediately after the procedure due to their potential to increase bleeding risk and compromise recovery outcomes."
0042,"The procedure associated with the ICD-9-CM code 0042 refers to a laparoscopic cholecystectomy, which is primarily performed for the treatment of symptomatic gallstones (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). Prior to the procedure, it is essential to discontinue anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during and after the surgery. Following the laparoscopic cholecystectomy, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management, and they may also receive a short course of first-generation cephalosporins (ATC-3: J01DB) to prevent surgical site infections. It is important to note that nonsteroidal anti-inflammatory drugs (ATC-3: M01A) should generally be avoided immediately post-procedure due to their potential to increase bleeding risk."
0043,"The procedure associated with the ICD-9-CM code 0043 refers to a laparoscopic cholecystectomy, primarily performed for the treatment of symptomatic gallstones (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). Prior to this procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding complications during and after surgery. Following the laparoscopic cholecystectomy, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management and may also receive a course of non-steroidal anti-inflammatory drugs (ATC-3: M01A) to further alleviate discomfort. Additionally, prophylactic antibiotics such as first-generation cephalosporins (ATC-3: J01DB) may be administered to prevent surgical site infections. It is crucial to avoid the use of certain drugs, particularly non-steroidal anti-inflammatory drugs (ATC-3: M01A) immediately postoperatively, as they can interfere with healing and increase the risk of gastrointestinal complications."
0044,"The procedure represented by the ICD-9-CM code 0044 refers to an endoscopic retrograde cholangiopancreatography (ERCP), primarily performed for diagnostic and therapeutic purposes related to the biliary and pancreatic ducts. This procedure is typically indicated for conditions such as choledocholithiasis (ICD-9-CM: 574.20), cholangitis (ICD-9-CM: 576.1), and pancreatic duct obstruction (ICD-9-CM: 577.1). Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet medications (ATC-3: B01AC) to reduce the risk of bleeding complications during and after the intervention. Post-procedure, patients are often prescribed analgesics such as non-steroidal anti-inflammatory drugs (ATC-3: M01A) for pain management and may receive antibiotics (ATC-3: J01) to prevent infection, particularly if there is a risk of post-ERCP pancreatitis. It is also important to avoid the use of certain medications such as non-steroidal anti-inflammatory drugs (ATC-3: M01A) immediately after the procedure if there are concerns about gastrointestinal bleeding or pancreatitis exacerbation."
0045,"The procedure associated with the ICD-9-CM code 0045 refers to a laparoscopic cholecystectomy, which is primarily performed for the treatment of symptomatic gallbladder disease, particularly in cases of cholelithiasis (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during surgery. Following the laparoscopic cholecystectomy, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management, and a short course of antibiotics, such as first-generation cephalosporins (ATC-3: J01DB), may be administered for surgical site infection prophylaxis. Additionally, caution is advised regarding the use of nonsteroidal anti-inflammatory drugs (ATC-3: M01A), as they may increase the risk of bleeding and should be avoided in the immediate postoperative period."
0046,"The procedure represented by the ICD-9-CM code 0046 refers to the laparoscopic cholecystectomy, which is primarily performed for the treatment of symptomatic gallbladder disease, including acute cholecystitis (ICD-9-CM: 575.11) and symptomatic cholelithiasis (ICD-9-CM: 574.20). Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during and after surgery. Post-procedure, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management, and they may also receive non-steroidal anti-inflammatory drugs (ATC-3: M01A) to aid in recovery and reduce discomfort. It is important to note that certain medications, such as non-steroidal anti-inflammatory drugs (ATC-3: M01A), should be used cautiously in the immediate postoperative period due to their potential effects on renal function and bleeding risk."
0047,"The procedure associated with the ICD-9-CM code 0047 refers to the laparoscopic cholecystectomy, which is primarily performed for the treatment of gallbladder disease, particularly symptomatic cholelithiasis (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during and after surgery. Following the laparoscopic cholecystectomy, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management and may also receive non-steroidal anti-inflammatory drugs (ATC-3: M01A) to mitigate postoperative discomfort. Additionally, prophylactic antibiotics, such as first-generation cephalosporins (ATC-3: J01DB), may be administered to prevent surgical site infections. It is crucial to avoid the use of certain medications, such as NSAIDs (ATC-3: M01A), immediately post-procedure, as they can exacerbate bleeding risks and affect recovery."
0048,"This procedure, identified by ICD-9-CM: 0048, refers to the laparoscopic cholecystectomy, which is primarily performed for the treatment of symptomatic gallstones (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during and after surgery. Following the laparoscopic cholecystectomy, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management, along with a course of nonsteroidal anti-inflammatory drugs (ATC-3: M01A) to help mitigate postoperative discomfort. It is also common to administer prophylactic antibiotics, such as first-generation cephalosporins (ATC-3: J01DB), to prevent surgical site infections. Notably, specific medications, particularly those that affect coagulation, such as direct oral anticoagulants (ATC-3: B01AF), must be carefully managed or withheld in the perioperative period to prevent complications related to bleeding."
0050,"The procedure associated with the ICD-9-CM code 0050 refers to the surgical intervention known as appendectomy, which is primarily performed to remove an inflamed or infected appendix, a condition often diagnosed as acute appendicitis (ICD-9-CM: 540.9). Prior to the procedure, it is essential to hold or adjust anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during and after surgery. Following the appendectomy, patients typically receive opioid analgesics (ATC-3: N02A) for effective pain management, along with antibiotics such as third-generation cephalosporins (ATC-3: J01DD) to prevent postoperative infections. Additionally, it is crucial to avoid the use of non-steroidal anti-inflammatory drugs (ATC-3: M01A) immediately after the procedure, as these may increase the risk of bleeding and interfere with the healing process."
0051,"The procedure represented by the ICD-9-CM code 0051 refers to the surgical creation of an enterostomy, specifically a jejunostomy, which is performed to provide an alternative route for nutrient absorption in patients who cannot utilize their gastrointestinal tract normally due to conditions such as bowel obstruction (ICD-9-CM: 560.9) or severe malnutrition (ICD-9-CM: 263.9). Prior to the procedure, it is essential to hold or adjust certain drug classes, particularly anticoagulants (ATC-3: B01AA), to reduce the risk of bleeding during surgery, as well as non-steroidal anti-inflammatory drugs (ATC-3: M01A) which may exacerbate bleeding tendencies. Following the creation of the jejunostomy, patients are typically prescribed enteral nutrition formulations (ATC-3: B05BA) to support nutritional needs, along with analgesics (ATC-3: N02A) for pain management to enhance recovery comfort. Additionally, caution is warranted regarding the use of immunosuppressants (ATC-3: L04) which may increase the risk of infection postoperatively, necessitating their temporary discontinuation to optimize recovery outcomes."
0052,"The procedure defined by ICD-9-CM: 0052 refers to the performance of a percutaneous endoscopic gastrostomy (PEG) tube placement, primarily aimed at providing nutritional support for patients who are unable to consume food orally due to various medical conditions. This procedure is typically indicated for patients with diagnoses such as neurological disorders (ICD-9-CM: 438.89) leading to dysphagia, head and neck cancers (ICD-9-CM: 161.9), or severe anorexia due to chronic illnesses (ICD-9-CM: 799.4). Prior to the procedure, it is essential to hold or adjust certain drug classes, particularly anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC), to mitigate the risk of bleeding during and after the placement of the gastrostomy tube. Post-procedure, patients are commonly prescribed analgesics, such as opioids (ATC-3: N02A), for pain management, and may receive antiemetics (ATC-3: A04A) to prevent nausea associated with the procedure. It is also important to avoid certain medications, such as nonsteroidal anti-inflammatory drugs (NSAIDs) (ATC-3: M01A), which can increase bleeding risk and should be stopped prior to the procedure as a precaution."
0054,"The procedure represented by the ICD-9-CM code 0054 refers to the surgical intervention known as a laparoscopic cholecystectomy, primarily performed for the treatment of symptomatic gallstones (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). This minimally invasive procedure aims to alleviate symptoms and prevent complications associated with gallbladder disease. Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to reduce the risk of bleeding during and after surgery. Post-procedure, patients are typically prescribed opioid analgesics (ATC-3: N02A) for effective pain management, and a course of first-generation cephalosporins (ATC-3: J01DB) may be administered for prophylaxis against potential surgical site infections. Additionally, caution must be exercised regarding the use of nonsteroidal anti-inflammatory drugs (ATC-3: M01A), which may need to be avoided immediately following the procedure to minimize gastrointestinal complications."
0055,"The procedure denoted by ICD-9-CM: 0055 refers to the surgical intervention known as cholecystectomy, which is primarily performed for the treatment of symptomatic gallstones (ICD-9-CM: 574.20) and acute cholecystitis (ICD-9-CM: 575.11). Prior to the procedure, it is essential to hold or adjust certain drug classes, particularly anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC), to mitigate the risk of bleeding during and after the surgery. Following the procedure, patients are commonly prescribed opioid analgesics (ATC-3: N02A) for effective pain management and may also receive non-steroidal anti-inflammatory drugs (ATC-3: M01A) to alleviate discomfort and reduce inflammation. Additionally, a short course of antibiotics, such as first-generation cephalosporins (ATC-3: J01DB), is often administered for prophylaxis against surgical site infections. It is important to note that certain medications, including direct oral anticoagulants (ATC-3: B01AF) and NSAIDs (ATC-3: M01A), may be contraindicated or require careful management around the time of this procedure to minimize complications."
0058,"The procedure identified by the ICD-9-CM code 0058 refers to the therapeutic intervention of endoscopic retrograde cholangiopancreatography (ERCP), which is primarily performed for diagnostic and therapeutic purposes related to biliary and pancreatic ductal disorders. Common indications for this procedure include choledocholithiasis (ICD-9-CM: 574.20), acute pancreatitis (ICD-9-CM: 577.0), and cholangitis (ICD-9-CM: 576.1). Prior to the procedure, it is essential to hold anticoagulants (ATC-3: B01AA) and antiplatelet agents (ATC-3: B01AC) to minimize the risk of bleeding complications during and after the intervention. Following ERCP, patients typically receive analgesics such as non-steroidal anti-inflammatory drugs (ATC-3: M01A) for pain management and may be prescribed antibiotics (ATC-3: J01C) to prevent post-procedural infections, particularly in cases where there is a risk of cholangitis. It is important to note that certain medications, such as NSAIDs (ATC-3: M01A), should be used with caution or avoided immediately after the procedure due to the potential for exacerbating gastrointestinal irritation or bleeding."
0059,"The procedure associated with the ICD-9-CM code 0059 refers to a diagnostic or therapeutic intervention involving the administration of a contrast agent for imaging studies, particularly in the context of gastrointestinal evaluations. This procedure is primarily indicated for conditions such as gastrointestinal hemorrhage (ICD-9-CM: 578.9) and other gastrointestinal disorders requiring enhanced visualization for accurate diagnosis. Prior to the procedure, it is essential to hold medications such as anticoagulants (ATC-3: B01AA) to mitigate the risk of bleeding, as well as certain non-steroidal anti-inflammatory drugs (ATC-3: M01A) that may increase bleeding risk. Following the procedure, patients are commonly prescribed analgesics (ATC-3: N02B) for pain management and may also receive antiemetics (ATC-3: A04A) to prevent nausea associated with the contrast agent. It is crucial to avoid the use of nephrotoxic agents, such as certain non-steroidal anti-inflammatory drugs (ATC-3: M01A) and diuretics (ATC-3: C03), both pre- and post-procedure to protect renal function, especially in patients with pre-existing renal impairment."
0061,"The procedure associated with the ICD-9-CM code 0061 refers to the therapeutic aspiration of a joint or bursa, primarily aimed at alleviating pain, reducing swelling, and improving joint function in conditions such as osteoarthritis (ICD-9-CM: 715.90) and rheumatoid arthritis (ICD-9-CM: 714.0). Prior to the procedure, it is often necessary to hold anticoagulants (ATC-3: B01AA) to mitigate the risk of bleeding complications, as well as nonsteroidal anti-inflammatory drugs (ATC-3: M01A) that may increase bleeding risk. Following the aspiration, patients are typically prescribed analgesics, such as acetaminophen (ATC-3: N02B), for pain management, and may also receive corticosteroids (ATC-3: H02A) to reduce inflammation and promote healing. It is crucial to avoid the use of nonsteroidal anti-inflammatory drugs (ATC-3: M01A) immediately after the procedure to minimize the risk of prolonged bleeding and to allow for optimal recovery."
0062,"The procedure coded as ICD-9-CM: 0062 refers to the surgical intervention for the removal of a foreign body from the respiratory tract, which is primarily indicated in cases of acute airway obstruction due to aspirated objects, often seen in pediatric populations or in individuals with swallowing difficulties. Common primary indications for this procedure include foreign body aspiration, as classified under ICD-9-CM diagnoses such as 933 (foreign body in the respiratory tract) and 518.5 (acute respiratory failure due to foreign body obstruction). Prior to the procedure, it is essential to adjust medications to optimize patient safety and response; for example, the use of bronchodilators classified under ATC-3: R03 (drugs for obstructive airway diseases) may be indicated to alleviate bronchospasm. Post-procedure management typically includes the administration of analgesics, such as those classified under ATC-3: N02 (analgesics), to manage pain and discomfort, as well as potential antibiotics classified under ATC-3: J01 (antibacterials for systemic use) to prevent or treat any secondary infections that may arise from the procedure. Key contraindications for this intervention include severe coagulopathy, which may increase the risk of bleeding, as well as significant respiratory distress that could complicate anesthesia and the surgical approach. Understanding these elements is crucial for optimizing outcomes and managing subsequent medication needs effectively."
